start,end,kiro1,kiro2,kiro3,line
三原,海田市,65,65,65,山陽
三原,呉海田市,87,65,65,呉
呉海田市,海田市,0,0,0,呉
海田市,広島,6.4,6.4,6.4,山陽
三原,広島,71.4,71.4,71.4,山陽幹
広島,徳山,88.5,88.5,92.9,山陽幹
広島,岩国,41.4,41.4,41.4,山陽
岩国,櫛ケ浜,65.4,43.7,48.1,山陽
岩国,岩徳櫛ケ浜,43.7,43.7,48.1,岩徳
岩徳櫛ケ浜,櫛ケ浜,0,0,0,岩徳
櫛ケ浜,徳山,3.4,3.4,3.4,山陽
徳山,新山口,44.3,44.3,44.3,山陽
新山口,宇部,25.3,25.3,25.3,山陽
宇部,小野田,3.5,3.5,3.5,山陽
小野田,厚狭,6.3,6.3,6.3,山陽
新山口,居能,28.9,28.9,28.9,宇部線
居能,宇部,4.3,4.3,4.3,宇部線
居能,小野田,11.6,11.6,12.8,小野田線
益田,新山口,93.9,93.9,103.3,山口
宍道,益田,145.6,145.6,145.6,山陰
益田,長門市,85.1,85.1,85.1,山陰
長門市,幡生,74.2,74.2,74.2,山陰
長門市,厚狭,46,46,46,美祢
厚狭,新下関,26.6,26.6,26.6,山陽
厚狭,幡生,30.3,30.3,30.3,山陽
新下関,小倉,19,19,19,山陽幹
幡生,小倉,15.3,15.3,15.3,山陽鹿児島
