start,end,kiro,line
稚内,新旭川,255.7,宗谷
新旭川,東釧路,400.2,石北釧網
東釧路,新得,175,根室
新得,富良野,81.7,根室
富良野,旭川,54.8,富良野
富良野,滝川,54.6,根室
旭川,新旭川,3.7,函館
滝川,旭川,53.3,函館
新得,追分,114.8,石勝
滝川,岩見沢,42.9,函館
追分,岩見沢,40.2,室蘭
追分,沼ノ端,26.8,室蘭
追分,南千歳,17.6,石勝
南千歳,白石,38.2,千歳
南千歳,沼ノ端,18.4,千歳
白石,岩見沢,34.8,函館
長万部,白石,179.8,函館
長万部,沼ノ端,144,室蘭
長万部,森,62.8,函館
森,大沼,22.5,函館
森,東森,1.8,函館2
東森,大沼,33.5,函館2
大沼,木古内,44.6,函館新幹線
